iter	Passed	Remaining
0	134	134223
1	135	67550
2	136	45329
3	137	34274
4	139	27673
5	140	23214
6	141	20021
7	142	17611
8	142	15731
9	143	14228
10	144	12992
11	145	11968
12	146	11084
13	146	10326
14	147	9671
15	147	9095
16	148	8586
17	149	8134
18	149	7732
19	150	7369
20	151	7041
21	151	6744
22	152	6473
23	153	6223
24	154	6010
25	155	5807
26	155	5610
27	156	5425
28	156	5252
29	157	5094
30	158	4944
31	158	4803
32	159	4677
33	160	4554
34	160	4436
35	161	4324
36	162	4220
37	162	4120
38	163	4025
39	164	3936
40	164	3851
41	165	3771
42	165	3693
43	166	3619
44	167	3548
45	167	3479
46	168	3419
47	169	3362
48	170	3305
49	170	3247
50	171	3191
51	172	3137
52	172	3087
53	173	3038
54	174	2990
55	174	2944
56	175	2899
57	175	2856
58	176	2814
59	177	2773
60	177	2733
61	178	2697
62	178	2660
63	179	2625
64	180	2591
65	180	2558
66	181	2525
67	182	2494
68	182	2464
69	183	2436
70	184	2410
71	185	2384
72	185	2356
73	186	2329
74	186	2302
75	187	2276
76	187	2250
77	188	2226
78	188	2202
79	189	2178
80	190	2156
81	190	2134
82	190	2109
83	191	2088
84	192	2066
85	192	2046
86	193	2026
87	193	2006
88	194	1987
89	194	1968
90	195	1950
91	195	1932
92	196	1914
93	196	1897
94	197	1880
95	197	1863
96	198	1850
97	199	1836
98	200	1820
99	200	1805
100	201	1789
101	201	1774
102	202	1760
103	202	1746
104	203	1732
105	203	1719
106	204	1705
107	204	1692
108	205	1679
109	205	1666
110	206	1653
111	207	1641
112	207	1629
113	208	1617
114	208	1606
115	209	1594
116	209	1582
117	210	1571
118	210	1561
119	211	1550
120	212	1540
121	212	1528
122	213	1520
123	214	1515
124	215	1506
125	215	1496
126	216	1485
127	216	1476
128	217	1466
129	217	1457
130	218	1447
131	218	1438
132	219	1429
133	219	1420
134	220	1411
135	220	1403
136	221	1395
137	222	1386
138	222	1378
139	223	1370
140	223	1362
141	224	1353
142	224	1346
143	225	1339
144	225	1331
145	226	1323
146	227	1317
147	227	1310
148	228	1305
149	229	1299
150	229	1292
151	230	1286
152	231	1279
153	231	1273
154	232	1267
155	233	1261
156	233	1254
157	234	1248
158	234	1242
159	235	1236
160	235	1229
161	236	1223
162	237	1217
163	237	1211
164	238	1206
165	238	1200
166	239	1194
167	240	1188
168	240	1183
169	241	1177
170	241	1172
171	242	1166
172	243	1162
173	244	1159
174	244	1154
175	245	1149
176	246	1144
177	246	1138
178	247	1133
179	247	1128
180	248	1123
181	248	1118
182	249	1113
183	250	1108
184	250	1103
185	251	1099
186	251	1094
187	252	1089
188	252	1085
189	253	1081
190	254	1076
191	254	1072
192	255	1067
193	256	1063
194	256	1059
195	257	1055
196	258	1052
197	259	1050
198	260	1046
199	260	1042
200	261	1039
201	262	1035
202	262	1030
203	263	1026
204	263	1022
205	264	1018
206	264	1014
207	265	1010
208	265	1006
209	266	1002
210	267	998
211	267	994
212	268	990
213	268	986
214	269	983
215	269	979
216	270	975
217	270	971
218	271	968
219	272	964
220	272	960
221	273	958
222	274	955
223	274	952
224	275	949
225	276	945
226	276	942
227	277	938
228	277	935
229	278	931
230	278	928
231	279	925
232	280	922
233	280	919
234	281	915
235	281	912
236	282	909
237	283	906
238	283	903
239	284	900
240	284	897
241	285	894
242	286	891
243	286	888
244	287	885
245	289	886
246	290	884
247	290	881
248	291	879
249	292	876
250	292	874
251	293	871
252	294	868
253	295	866
254	295	864
255	296	861
256	297	859
257	298	857
258	298	854
259	299	852
260	299	849
261	300	847
262	301	844
263	302	842
264	304	844
265	304	841
266	305	838
267	306	836
268	306	833
269	307	831
270	308	828
271	308	825
272	309	823
273	309	820
274	310	818
275	311	816
276	311	813
277	312	811
278	312	808
279	313	806
280	314	804
281	315	803
282	316	800
283	316	798
284	317	796
285	318	795
286	319	793
287	319	791
288	320	788
289	321	786
290	321	783
291	322	781
292	322	779
293	323	776
294	323	774
295	324	771
296	325	769
297	325	767
298	326	765
299	327	763
300	327	760
301	328	758
302	329	757
303	329	755
304	330	753
305	331	750
306	331	748
307	332	746
308	333	745
309	334	744
310	334	742
311	335	739
312	336	737
313	336	735
314	337	733
315	337	730
316	338	729
317	339	727
318	339	724
319	340	722
320	340	720
321	341	718
322	341	716
323	342	714
324	343	712
325	343	710
326	344	708
327	344	706
328	345	704
329	346	702
330	347	701
331	348	700
332	349	699
333	349	697
334	350	695
335	351	693
336	351	691
337	352	689
338	352	687
339	353	686
340	354	684
341	355	683
342	355	681
343	356	679
344	356	677
345	357	675
346	358	674
347	358	672
348	359	670
349	359	668
350	360	666
351	361	664
352	361	662
353	362	661
354	363	661
355	364	659
356	365	658
357	366	656
358	366	655
359	367	653
360	368	651
361	368	649
362	369	647
363	369	646
364	370	644
365	371	643
366	371	641
367	372	639
368	373	637
369	373	636
370	374	634
371	374	632
372	375	631
373	376	629
374	376	628
375	377	626
376	379	626
377	380	625
378	380	623
379	381	622
380	381	620
381	382	618
382	383	617
383	383	615
384	384	613
385	384	612
386	385	610
387	386	608
388	386	607
389	387	605
390	387	603
391	388	602
392	388	600
393	389	599
394	390	597
395	390	596
396	391	594
397	392	593
398	392	591
399	393	590
400	394	589
401	396	589
402	396	587
403	397	586
404	397	584
405	398	583
406	399	581
407	400	581
408	402	581
409	403	580
410	403	578
411	404	577
412	405	576
413	406	575
414	407	573
415	407	572
416	408	571
417	409	570
418	410	569
419	411	567
420	411	566
421	412	564
422	413	563
423	413	562
424	414	560
425	414	559
426	415	557
427	416	556
428	416	554
429	417	553
430	418	552
431	419	551
432	420	550
433	421	549
434	421	547
435	422	546
436	423	545
437	424	544
438	425	544
439	426	543
440	427	542
441	428	541
442	429	539
443	429	538
444	430	536
445	431	535
446	431	534
447	432	532
448	432	531
449	433	530
450	434	528
451	435	527
452	435	526
453	436	524
454	436	523
455	437	522
456	438	521
457	439	520
458	440	518
459	441	517
460	441	516
461	442	515
462	443	514
463	443	512
464	444	511
465	445	510
466	445	508
467	446	507
468	447	506
469	447	504
470	448	503
471	448	502
472	449	501
473	450	499
474	451	498
475	451	497
476	452	495
477	452	494
478	453	493
479	454	492
480	455	491
481	456	490
482	457	489
483	457	488
484	458	487
485	460	487
486	461	485
487	461	484
488	462	483
489	463	481
490	463	480
491	464	479
492	464	478
493	465	476
494	466	475
495	467	474
496	468	473
497	469	473
498	470	472
499	471	471
500	472	470
501	472	469
502	473	467
503	474	466
504	474	465
505	475	464
506	476	463
507	476	461
508	477	460
509	478	459
510	478	458
511	479	456
512	479	455
513	480	454
514	481	453
515	481	451
516	482	450
517	483	449
518	484	448
519	485	447
520	486	447
521	487	446
522	487	445
523	488	443
524	489	442
525	489	441
526	490	440
527	491	439
528	491	437
529	492	436
530	493	435
531	493	434
532	494	433
533	495	431
534	495	430
535	496	429
536	496	428
537	497	427
538	498	426
539	499	425
540	500	424
541	501	423
542	501	422
543	502	421
544	503	420
545	503	418
546	504	417
547	505	416
548	505	415
549	506	414
550	507	413
551	507	412
552	508	410
553	509	409
554	509	408
555	510	407
556	510	406
557	511	405
558	512	403
559	512	402
560	513	402
561	514	401
562	515	400
563	516	399
564	517	398
565	517	397
566	518	395
567	518	394
